feature,importance
max_params_dom_script,0.0598
median_params_dom_ln,0.0513
median_params_dom_img,0.047
max_timers_t_resp,0.0404
median_params_dom_script,0.0369
max_params_dom_ln,0.0242
max_timers_custom1,0.0236
session_avg_loadtime,0.0216
max_timers_navst_to_boomr,0.0214
max_timers_boomr_ld,0.0205
median_timers_t_configjs,0.0184
max_timers_domload,0.0181
median_timers_t_page,0.018
median_timers_t_configfb,0.018
max_timers_t_done,0.0173
median_timers_t_done,0.0172
max_timers_boomr_fb,0.0171
max_timers_before_dns,0.0162
median_params_dom_res,0.016
median_timers_t_resp,0.0153
max_params_dom_doms,0.0152
max_params_dom_img,0.0147
median_timers_boomr_lat,0.0146
max_timers_fb_to_boomr,0.014
max_timers_t_configjs,0.0134
max_timers_boomr_lat,0.0133
median_params_dom_doms,0.0132
max_timers_t_domloaded,0.0132
max_timers_t_configfb,0.0132
max_timers_boomr_to_end,0.013
max_params_dom_res,0.0128
median_timers_boomr_to_end,0.0128
median_timers_fb_to_boomr,0.0124
median_timers_custom1,0.0123
median_timers_boomr_fb,0.0123
median_timers_boomr_ld,0.0121
max_timers_t_page,0.012
median_timers_navst_to_boomr,0.0114
median_timers_t_domloaded,0.0106
max_timers_custom3,0.0102
median_timers_boomerang,0.01
user_agent_major,0.0099
median_timers_custom3,0.0096
params_scr_bpp,0.0096
user_agent_family,0.0095
max_timers_boomerang,0.0094
median_timers_domready,0.009
max_timers_tcp,0.0088
max_timers_custom0,0.0084
median_timers_loaded,0.0082
user_agent_os,0.0076
median_timers_custom0,0.0073
user_agent_device_type,0.0072
max_timers_domready,0.0072
median_timers_domload,0.0071
median_timers_before_dns,0.0069
max_timers_loaded,0.0068
median_timers_tcp,0.0053
geo_netspeed,0.0051
user_agent_manufacturer,0.0045
median_timers_custom2,0.0039
max_timers_renderstart,0.0037
median_timers_custom5,0.0036
max_timers_custom2,0.0036
max_timers_custom4,0.0036
median_timers_custom4,0.0035
max_timers_custom5,0.0035
median_params_bat_lvl,0.0033
median_timers_renderstart,0.0031
median_timers_custom9,0.003
params_scr_dpx,0.0028
median_timers_custom6,0.0027
max_timers_custom6,0.0027
max_timers_custom7,0.0026
max_timers_custom9,0.0025
params_cpu_cnc,0.0025
params_scr_orn,0.002
median_timers_custom7,0.0019
median_timers_dns,0.0018
mobile_connection_type,0.0017
median_timers_custom8,0.0015
max_timers_custom8,0.0014
max_timers_dns,0.0012
median_bandwidth_kbps,0.0012
max_bandwidth_kbps,0.0011
timers_missing,0.001
params_scr_mtp,0.0004
median_timers_t_load,0.0002
max_timers_t_load,0.0002
median_timers_t_prerender,0.0002
max_timers_t_postrender,0.0002
max_timers_t_prerender,0.0002
median_timers_t_postrender,0.0002
